137237535700156416,-2
272143648114606083,-4
291325426662637568,0
164525273503498240,0
439193926650298381,-6
332576399967911937,-1
329928420643307520,-2
629694133455290370,-4
165195486746116096,-18
386333744187047946,43
456465826728378382,-2
129728601409978368,-3
341664179213565952,-7
238194337253556224,14
558771826902302771,-3
243578401082966016,2
149337600656670720,-2
733720929993228329,-1
670591976986509315,-1
598296108112019456,-1
258394009456607244,-3
249159149269680129,-1
232531135328944129,-1
182890528768000002,-1
